계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(E)
Sales,9647.0,9968.0,9528.0,nan,2444.0,2427.0,2315.0,nan
Operating Income,-868.0,-715.0,-98.0,nan,-160.0,5.0,131.0,nan
Oper.Income(Rep.),-868.0,-715.0,-98.0,nan,-160.0,5.0,131.0,nan
Net Income,-784.0,-663.0,3.0,nan,-135.0,0.0,193.0,nan
Net Income(Contr.),-784.0,-663.0,3.0,nan,-135.0,0.0,193.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan,nan
Total Assets,9023.0,7797.0,7242.0,nan,7672.0,7441.0,7242.0,nan
Total Liabilities,1643.0,1124.0,924.0,nan,1101.0,980.0,924.0,nan
Total Equity,7380.0,6673.0,6318.0,nan,6572.0,6460.0,6318.0,nan
Net Income(Contr.),7380.0,6673.0,6318.0,nan,6572.0,6460.0,6318.0,nan
Net Income(Minor.),0.0,0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,44.0,46.0,46.0,nan,46.0,46.0,46.0,nan
Total Debt/Equity,22.27,16.85,14.63,nan,16.75,15.17,14.63,nan
Reserve Ratio,17066.67,14908.28,14336.63,nan,14712.04,14210.34,14336.63,nan
Oper.Income Margin,-9.0,-7.17,-1.03,nan,-6.56,0.21,5.67,nan
Net Income Margin,-8.13,-6.65,0.03,nan,-5.51,0.02,8.32,nan
ROA,-8.53,-7.88,0.03,nan,-6.95,0.02,10.5,nan
ROE,-10.12,-9.43,0.04,nan,-8.11,0.02,12.06,nan
EPS(KRW),-8770.0,-7292.0,28.0,nan,-1465.0,4.0,2190.0,nan
BPS(KRW),85091.0,75041.0,75487.0,nan,74060.0,74827.0,75487.0,nan
DPS(KRW),100.0,100.0,100.0,nan,nan,nan,100.0,nan
PER,nan,nan,2133.46,nan,nan,nan,nan,nan
PBR,0.57,0.81,0.78,nan,0.78,0.76,0.78,nan
Issued Shares,7200.0,7200.0,6797.0,nan,7200.0,6797.0,6797.0,nan
Div Yield,0.21,0.16,0.17,nan,nan,nan,0.17,nan
