계정,2024/06,2024/09,2024/12,2025/03(P),2024/06,2024/09,2024/12,2025/03(P)
Sales,522.0,524.0,524.0,534.0,522.0,524.0,524.0,534.0
Operating Income,345.0,352.0,354.0,362.0,345.0,352.0,354.0,362.0
Oper.Income(Rep.),345.0,352.0,354.0,362.0,345.0,352.0,354.0,362.0
Net Income,54.0,-2.0,23.0,22.0,54.0,-2.0,23.0,22.0
Net Income(Contr.),42.0,-14.0,11.0,nan,42.0,-14.0,11.0,nan
Net Income(Minor.),12.0,12.0,12.0,nan,12.0,12.0,12.0,nan
Total Assets,44229.0,42326.0,44335.0,nan,44229.0,42326.0,44335.0,nan
Total Liabilities,31352.0,29509.0,31687.0,nan,31352.0,29509.0,31687.0,nan
Total Equity,12878.0,12817.0,12648.0,nan,12878.0,12817.0,12648.0,nan
Net Income(Contr.),12066.0,12005.0,11836.0,nan,12066.0,12005.0,11836.0,nan
Net Income(Minor.),812.0,812.0,812.0,nan,812.0,812.0,812.0,nan
Capital Stock,1351.0,1364.0,1364.0,nan,1351.0,1364.0,1364.0,nan
Total Debt/Equity,243.46,230.24,250.53,nan,243.46,230.24,250.53,nan
Reserve Ratio,793.34,780.16,767.8,nan,793.34,780.16,767.8,nan
Oper.Income Margin,66.01,67.22,67.57,nan,66.01,67.22,67.57,nan
Net Income Margin,8.02,-2.63,2.19,4.02,8.02,-2.63,2.19,4.02
ROA,0.12,0.0,0.05,nan,0.49,-0.02,0.22,nan
ROE,0.34,-0.11,0.1,nan,1.38,-0.46,0.39,nan
EPS(KRW),15.0,-5.0,4.0,8.0,15.0,-5.0,4.0,8.0
BPS(KRW),4467.0,4401.0,4339.0,nan,4467.0,4401.0,4339.0,nan
DPS(KRW),264.0,66.0,66.0,70.0,264.0,66.0,66.0,70.0
PER,310.92,nan,1050.42,nan,nan,nan,nan,nan
PBR,1.08,1.17,1.02,nan,1.08,1.17,1.02,nan
Issued Shares,270133.0,272789.0,272789.0,nan,270133.0,272789.0,272789.0,nan
Div Yield,5.48,1.28,1.49,nan,5.48,1.28,1.49,nan
