계정,2022/12,2023/12,2024/12,2025/12(E),2024/06,2024/09,2024/12,2025/03(P)
Sales,28494.0,28075.0,30155.0,31365.0,7342.0,7566.0,8125.0,7280.0
Operating Income,1145.0,1225.0,1001.0,1375.0,369.0,399.0,-1.0,262.0
Oper.Income(Rep.),1145.0,1225.0,1001.0,nan,369.0,399.0,-1.0,262.0
Net Income,518.0,261.0,-4.0,280.0,128.0,86.0,-184.0,nan
Net Income(Contr.),476.0,261.0,-43.0,500.0,110.0,69.0,-180.0,nan
Net Income(Minor.),42.0,-0.0,39.0,nan,17.0,18.0,-4.0,nan
Total Assets,40932.0,42014.0,41895.0,42070.0,41624.0,41563.0,41895.0,nan
Total Liabilities,25588.0,26618.0,26656.0,26800.0,26237.0,26107.0,26656.0,nan
Total Equity,15344.0,15396.0,15239.0,15270.0,15386.0,15456.0,15239.0,nan
Net Income(Contr.),13959.0,14106.0,13925.0,13940.0,14084.0,14136.0,13925.0,nan
Net Income(Minor.),1385.0,1290.0,1314.0,1330.0,1303.0,1320.0,1314.0,nan
Capital Stock,747.0,747.0,747.0,750.0,747.0,747.0,747.0,nan
Total Debt/Equity,166.77,172.89,174.92,175.51,170.52,168.91,174.92,nan
Reserve Ratio,1794.4,1814.16,1789.9,nan,1811.14,1818.13,1789.9,nan
Oper.Income Margin,4.02,4.36,3.32,4.38,5.02,5.28,-0.01,nan
Net Income Margin,1.67,0.93,-0.14,1.59,1.5,0.91,-2.22,nan
ROA,1.3,0.63,-0.01,0.67,1.22,0.83,-1.77,nan
ROE,3.63,1.86,-0.31,3.59,3.15,1.95,-5.14,nan
EPS(KRW),3184.0,1748.0,-286.0,3345.0,738.0,461.0,-1207.0,nan
BPS(KRW),94720.0,95708.0,94495.0,94596.0,95557.0,95907.0,94495.0,nan
DPS(KRW),600.0,600.0,600.0,600.0,nan,nan,600.0,nan
PER,6.61,14.22,nan,5.53,nan,nan,nan,nan
PBR,0.22,0.26,0.2,0.2,0.2,0.2,0.2,nan
Issued Shares,14948.0,14948.0,14948.0,nan,14948.0,14948.0,14948.0,nan
Div Yield,2.85,2.41,3.16,nan,nan,nan,3.16,nan
