계정,2024/02,2024/08,2025/02(P),2024/05,2024/08,2024/11,2025/02(P)
Sales,33.0,35.0,33.0,17.0,nan,17.0,nan
Operating Income,12.0,1.0,23.0,-0.0,nan,9.0,nan
Oper.Income(Rep.),12.0,1.0,23.0,-0.0,0.0,9.0,nan
Net Income,-130.0,-108.0,-48.0,-58.0,nan,-21.0,nan
Net Income(Contr.),-130.0,-108.0,nan,-58.0,nan,-21.0,nan
Net Income(Minor.),nan,nan,nan,nan,nan,nan,nan
Total Assets,1684.0,1676.0,nan,1682.0,1676.0,1747.0,nan
Total Liabilities,1051.0,467.0,nan,1108.0,467.0,613.0,nan
Total Equity,633.0,1209.0,nan,574.0,1209.0,1134.0,nan
Net Income(Contr.),633.0,1209.0,nan,574.0,1209.0,1134.0,nan
Net Income(Minor.),0.0,0.0,nan,0.0,0.0,0.0,nan
Capital Stock,201.0,435.0,nan,201.0,435.0,435.0,nan
Total Debt/Equity,166.15,38.61,nan,192.92,38.61,54.06,nan
Reserve Ratio,214.02,178.15,nan,185.01,178.15,160.78,nan
Oper.Income Margin,35.6,4.23,nan,-0.4,nan,52.69,nan
Net Income Margin,-396.64,-309.78,-144.05,-338.05,nan,-123.35,nan
ROA,-7.52,-6.43,nan,-13.89,0.0,-4.85,nan
ROE,-18.65,-11.72,nan,-38.74,0.0,-7.08,nan
EPS(KRW),-647.0,-366.0,-110.0,-290.0,0.0,-48.0,nan
BPS(KRW),3140.0,2781.0,nan,2850.0,2781.0,2608.0,nan
DPS(KRW),nan,126.0,127.0,nan,126.0,nan,127.0
PER,nan,nan,nan,nan,nan,nan,nan
PBR,nan,0.95,nan,nan,0.95,0.82,nan
Issued Shares,20144.0,43478.0,nan,20144.0,43478.0,43478.0,nan
Div Yield,nan,4.75,nan,nan,4.75,nan,nan
