Date,Price,EMA_12,EMA_26,MACD,Signal,Histogram,Prev_MACD,Prev_Histogram,Category
2024-06-03,13450,,,,,,,,N/A
2024-06-04,13280,,,,,,,,N/A
2024-06-05,13290,,,,,,,,N/A
2024-06-07,13470,,,,,,,,N/A
2024-06-10,13500,,,,,,,,N/A
2024-06-11,13480,,,,,,,,N/A
2024-06-12,13360,,,,,,,,N/A
2024-06-13,13380,,,,,,,,N/A
2024-06-14,13650,,,,,,,,N/A
2024-06-17,13440,,,,,,,,N/A
2024-06-18,13250,,,,,,,,N/A
2024-06-19,12840,13330.628634008657,,,,,,,N/A
2024-06-20,12760,13242.839613391941,,,,,,,N/A
2024-06-21,13030,13210.095057485489,,,,,,,N/A
2024-06-24,13120,13196.234279410799,,,,,,,N/A
2024-06-25,13100,13181.42900565529,,,,,,,N/A
2024-06-26,12940,13144.286081708324,,,,,,,N/A
2024-06-27,12680,13072.857453753197,,,,,,,N/A
2024-06-28,12730,13020.110153175781,,,,,,,N/A
2024-07-01,12670,12966.2470526872,,,,,,,N/A
2024-07-02,12500,12894.516736889169,,,,,,,N/A
2024-07-03,12260,12796.898777367758,,,,,,,N/A
2024-07-04,12210,12706.606657772718,,,,,,,N/A
2024-07-05,12040,12604.051787346147,,,,,,,N/A
2024-07-08,12210,12543.42843544674,,,,,,,N/A
2024-07-09,12150,12482.900983839549,12801.000537624388,-318.0995537848394,,,,,N/A
2024-07-10,12250,12447.07006324885,12760.185682985544,-313.1156197366945,,,-318.0995537848394,,N/A
2024-07-11,12300,12424.443899672104,12726.097854616244,-301.6539549441404,,,-313.1156197366945,,N/A
2024-07-12,12370,12416.067915107165,12699.720235755782,-283.6523206486163,,,-301.6539549441404,,N/A
2024-07-15,12390,12412.05746662914,12676.777996070168,-264.7205294410287,,,-283.6523206486163,,N/A
2024-07-16,12130,12368.664010224657,12636.275922287194,-267.61191206253716,,,-264.7205294410287,,N/A
2024-07-17,12050,12319.638777882401,12592.848076191845,-273.2092983094444,,,-267.61191206253716,,N/A
2024-07-18,12150,12293.540504362032,12560.044514992449,-266.5040106304168,,,-273.2092983094444,,N/A
2024-07-19,11930,12237.611195998643,12513.374550918934,-275.763354920291,-282.7595319913095,6.996177071018451,-266.5040106304168,,N/A
2024-07-22,11940,12191.824858152699,12470.902361961977,-279.0775038092779,-282.0231263549032,2.9456225456252696,-275.763354920291,6.996177071018451,9. 분류 미정
2024-07-23,12000,12162.313341513822,12436.020705520348,-273.7073640065264,-280.3599738852278,6.652609878701412,-279.0775038092779,2.9456225456252696,9. 분류 미정
2024-07-24,11950,12129.649750511695,12400.0191717781,-270.36942126640497,-278.36186336146324,7.992442095058266,-273.7073640065264,6.652609878701412,9. 분류 미정
2024-07-25,12070,12120.472865817588,12375.573307201945,-255.1004413843566,-273.70957896604193,18.60913758168533,-270.36942126640497,7.992442095058266,9. 분류 미정
2024-07-26,11930,12091.169347999497,12342.567877038839,-251.39852903934116,-269.24736898070176,17.84883994136061,-255.1004413843566,18.60913758168533,6. 하락추세 / 일시적 반등
2024-07-29,12000,12077.143294461113,12317.192478739666,-240.04918427855227,-263.40773204027187,23.358547761719592,-251.39852903934116,17.84883994136061,9. 분류 미정
2024-07-30,11970,12060.659710697864,12291.474517351542,-230.8148066536778,-256.8891469629531,26.07434030927527,-240.04918427855227,23.358547761719592,9. 분류 미정
2024-07-31,12040,12057.481293667424,12272.846775325503,-215.36548165807835,-248.58441390197814,33.218932243899786,-230.8148066536778,26.07434030927527,9. 분류 미정
2024-08-01,12050,12056.330325410898,12256.339606782873,-200.0092813719748,-238.86938739597747,38.860106024002675,-215.36548165807835,33.218932243899786,9. 분류 미정
2024-08-02,11960,12041.510275347682,12234.388524798956,-192.8782494512743,-229.67115980703684,36.79291035576253,-200.0092813719748,38.860106024002675,6. 하락추세 / 일시적 반등
2024-08-05,11090,11895.124079140347,12149.619004443479,-254.49492530313182,-234.63591290625584,-19.859012396875983,-192.8782494512743,36.79291035576253,5. 하락추세 / 추세 확대중
2024-08-06,11370,11814.3357592726,12091.869448558777,-277.533689286176,-243.2154681822399,-34.31822110393611,-254.49492530313182,-19.859012396875983,5. 하락추세 / 추세 확대중
2024-08-07,11490,11764.437950153739,12047.286526443311,-282.8485762895725,-251.14208980370645,-31.706486485866066,-277.533689286176,-34.31822110393611,6. 하락추세 / 일시적 반등
2024-08-08,11620,11742.216727053163,12015.635672632696,-273.4189455795331,-255.5974609588718,-17.821484620661295,-282.8485762895725,-31.706486485866066,6. 하락추세 / 일시적 반등
2024-08-09,11600,11720.337230583445,11984.847845030274,-264.5106144468282,-257.3800916564631,-7.130522790365092,-273.4189455795331,-17.821484620661295,6. 하락추세 / 일시적 반등
2024-08-12,11400,11671.054579724454,11941.52578243544,-270.4712027109854,-259.9983138673676,-10.472888843617795,-264.5106144468282,-7.130522790365092,5. 하락추세 / 추세 확대중
2024-08-13,10750,11529.35387515146,11853.264613366147,-323.9107382146867,-272.7807987368314,-51.12993947785532,-270.4712027109854,-10.472888843617795,5. 하락추세 / 추세 확대중
2024-08-14,11000,11447.91481743585,11790.059827190877,-342.14500975502597,-286.6536409404703,-55.49136881455564,-323.9107382146867,-51.12993947785532,5. 하락추세 / 추세 확대중
2024-08-16,10930,11368.235614753412,11726.351691843403,-358.11607708999145,-300.94612817037455,-57.1699489196169,-342.14500975502597,-55.49136881455564,5. 하락추세 / 추세 확대중
2024-08-19,10860,11290.045520175963,11662.177492447596,-372.13197227163255,-315.18329699062616,-56.94867528100639,-358.11607708999145,-57.1699489196169,6. 하락추세 / 일시적 반등
2024-08-20,10940,11236.192363225815,11608.682863377404,-372.490500151589,-326.64473762281875,-45.84576252877025,-372.13197227163255,-56.94867528100639,6. 하락추세 / 일시적 반등
2024-08-21,11040,11206.008922729536,11566.55820683093,-360.54928410139473,-333.42564691853397,-27.12363718286076,-372.490500151589,-45.84576252877025,6. 하락추세 / 일시적 반등
2024-08-22,11070,11185.084473078838,11529.776117436048,-344.69164435720995,-335.6788464062692,-9.012797950940751,-360.54928410139473,-27.12363718286076,6. 하락추세 / 일시적 반등
2024-08-23,11120,11175.071477220556,11499.422330959304,-324.3508537387479,-333.41324787276494,9.06239413401704,-344.69164435720995,-9.012797950940751,9. 분류 미정
2024-08-26,11040,11154.291249955855,11465.391047184541,-311.09979722868593,-328.95055774394916,17.850760515263232,-324.3508537387479,9.06239413401704,9. 분류 미정
2024-08-27,11150,11153.631057654955,11442.028747393093,-288.39768973813807,-320.83998414278693,32.44229440464886,-311.09979722868593,17.850760515263232,9. 분류 미정
2024-08-28,11060,11139.226279554192,11413.73032166027,-274.5040421060785,-311.57279573544525,37.06875362936677,-288.39768973813807,32.44229440464886,9. 분류 미정
2024-08-29,11050,11125.499159622777,11386.787334870622,-261.28817524784426,-301.51587163792504,40.22769639008078,-274.5040421060785,37.06875362936677,9. 분류 미정
2024-08-30,11180,11133.883904296195,11371.469754509835,-237.5858502136398,-288.729867353068,51.14401713942823,-261.28817524784426,40.22769639008078,9. 분류 미정
2024-09-02,11330,11164.05561132755,11368.39792084244,-204.34230951489008,-271.85235578543245,67.51004627054238,-237.5858502136398,51.14401713942823,9. 분류 미정
2024-09-03,11670,11241.89320958485,11390.738815594852,-148.84560601000157,-247.2510058303463,98.40539982034471,-204.34230951489008,67.51004627054238,9. 분류 미정
2024-09-04,11560,11290.832715802566,11403.276681106345,-112.4439653037789,-220.28959772503282,107.84563242125392,-148.84560601000157,98.40539982034471,9. 분류 미정
2024-09-05,12070,11410.704605679095,11452.663593616986,-41.958987937890925,-184.62347576760445,142.66448782971352,-112.4439653037789,107.84563242125392,9. 분류 미정
2024-09-06,11620,11442.903897113081,11465.05888297869,-22.154985865608978,-152.12977778720537,129.9747919215964,-41.958987937890925,142.66448782971352,6. 하락추세 / 일시적 반등
2024-09-09,11620,11470.149451403377,11476.536002758046,-6.386551354669791,-122.98113250069827,116.59458114602847,-22.154985865608978,129.9747919215964,4. 뚜렷한 추세 없음 / 눌림목
2024-09-10,11560,11483.972612725935,11482.718521072266,1.254091653669093,-98.1340876698248,99.38817932349389,-6.386551354669791,116.59458114602847,4. 뚜렷한 추세 없음 / 눌림목
2024-09-11,11560,11495.669133845022,11488.443075066913,7.226058778109291,-77.06205838023799,84.28811715834728,1.254091653669093,99.38817932349389,4. 뚜렷한 추세 없음 / 눌림목
2024-09-12,11560,11505.566190176556,11493.74358802492,11.822602151636602,-59.28512627386307,71.10772842549967,7.226058778109291,84.28811715834728,2. 상승 추세 / 눌림목
