Sector	Code	Name	ChagesRatio	Marcap	Amount	MACD
AI	402030	코난테크놀로지	29.92	3629	155	1. 상승 추세 / 추세 확대중
AI	304100	솔트룩스	21.95	4997	982	1. 상승 추세 / 추세 확대중
AI	096250	와이즈넛	15.25	2012	209	1. 상승 추세 / 추세 확대중
AI	377480	마음AI	13.26	1739	429	2. 상승 추세 / 눌림목
AI	108860	셀바스AI	8.3	3891	91	1. 상승 추세 / 추세 확대중
AI	039980	폴라리스AI	2.98	2137	66	1. 상승 추세 / 추세 확대중
AI	163280	에어레인	2.42	1704	39	1. 상승 추세 / 추세 확대중
AI	389140	포바이포	0.1	2233	747	2. 상승 추세 / 눌림목
AI	210120	캔버스엔	-0.83	1095	16	2. 상승 추세 / 눌림목
IT소프트웨어	052400	코나아이	29.81	8257	2061	1. 상승 추세 / 추세 확대중
IT소프트웨어	294570	쿠콘	24.43	2517	235	1. 상승 추세 / 추세 확대중
IT소프트웨어	053580	웹케시	13.16	2781	2111	1. 상승 추세 / 추세 확대중
IT소프트웨어	088340	유라클	11.93	1205	1412	1. 상승 추세 / 추세 확대중
IT소프트웨어	413640	비아이매트릭스	11.58	1101	53	1. 상승 추세 / 추세 확대중
IT소프트웨어	124500	아이티센글로벌	9.07	2819	109	2. 상승 추세 / 눌림목
IT소프트웨어	086960	MDS테크	6.65	1437	770	1. 상승 추세 / 추세 확대중
IT소프트웨어	011690	와이투솔루션	6.53	1289	41	1. 상승 추세 / 추세 확대중
IT소프트웨어	377030	비트맥스	5.3	1660	57	1. 상승 추세 / 추세 확대중
IT소프트웨어	163730	핑거	4.97	1143	64	1. 상승 추세 / 추세 확대중
IT소프트웨어	300080	플리토	4.95	1251	24	1. 상승 추세 / 추세 확대중
IT소프트웨어	158430	아톤	4.66	1470	14	1. 상승 추세 / 추세 확대중
IT소프트웨어	053300	한국정보인증	4.53	2516	184	1. 상승 추세 / 추세 확대중
IT소프트웨어	012750	에스원	4.51	26295	20	1. 상승 추세 / 추세 확대중
IT소프트웨어	094480	갤럭시아머니트리	4.28	3471	123	1. 상승 추세 / 추세 확대중
IT소프트웨어	030520	한글과컴퓨터	3.45	6153	233	1. 상승 추세 / 추세 확대중
IT소프트웨어	041020	폴라리스오피스	3.19	2898	23	1. 상승 추세 / 추세 확대중
IT소프트웨어	347700	스피어	3.04	3553	12	2. 상승 추세 / 눌림목
IT소프트웨어	032190	다우데이타	2.08	6576	47	1. 상승 추세 / 추세 확대중
IT소프트웨어	023590	다우기술	2.08	12136	37	2. 상승 추세 / 눌림목
IT소프트웨어	307950	현대오토에버	1.8	38859	21	2. 상승 추세 / 눌림목
IT소프트웨어	257720	실리콘투	-0.19	31258	284	1. 상승 추세 / 추세 확대중
IT소프트웨어	472850	폰드그룹	-1.42	2878	17	2. 상승 추세 / 눌림목
IT소프트웨어	377300	카카오페이	-2.23	50577	77	2. 상승 추세 / 눌림목
IT소프트웨어	484870	엠앤씨솔루션	-3.13	11597	36	2. 상승 추세 / 눌림목
IT소프트웨어	035720	카카오	-3.59	185739	817	2. 상승 추세 / 눌림목
