Sector,Ratio,MeanChange,NumPos,NumNeg
운송/항공/물류,33.33,0.3,9,18
방위산업,30.77,1.94,4,9
홈리빙/가구,25.0,-0.75,2,6
통신,23.53,-1.51,4,13
반도체 장비,23.4,-1.74,11,36
기타금융,20.69,-0.78,6,23
미용기기,20.0,-0.5,1,4
의류,20.0,-1.8,5,20
AI,18.18,-1.86,4,18
유통,17.65,-1.44,3,14
이차전지 소재,17.24,-1.65,5,24
은행,16.67,-1.7,1,5
IT하드웨어/반도체,16.13,-2.31,15,78
음식료,14.58,-1.32,7,41
반도체 소재,12.5,-1.39,3,21
전력기기,12.5,-2.63,5,35
가전제품,12.5,-1.58,1,7
미디어,11.54,-1.7,3,23
디스플레이 소재,11.11,-2.21,1,8
신재생에너지,11.11,-4.31,2,16
자동차 부품,10.91,-2.61,6,49
증권,10.53,-1.17,2,17
화장품,10.34,-2.02,3,26
엔터테인먼트,9.68,-2.68,3,28
기타,9.09,-1.88,1,10
건자재,8.82,-2.14,3,31
유틸리티,7.69,-1.62,1,12
IT소프트웨어,7.69,-2.32,7,84
바이오/제약/신약개발,7.59,-2.62,11,134
지주회사,7.14,-2.2,5,65
이차전지 장비,6.67,-2.57,1,14
창업투자/VC,6.67,-2.83,1,14
디스플레이 장비,6.67,-3.01,1,14
건설,6.06,-1.98,2,31
로봇,5.0,-2.31,1,19
정유/화학/가스,4.92,-2.37,3,58
철강/비철금속,4.65,-2.55,2,41
유통/소매,4.0,-2.46,1,24
진단기기/의료기기,3.23,-2.8,1,30
보험,0.0,-1.51,0,14
필수소비재,0.0,-2.26,0,2
디스플레이 패널,0.0,-2.15,0,2
이차전지 배터리,0.0,-3.02,0,3
헬스케어,0.0,-2.87,0,27
원자력,0.0,-2.58,0,5
조선/기계/중공업,0.0,-2.73,0,41
자동차,0.0,-1.96,0,3
게임,0.0,-4.1,0,18
