Sector,Ratio,MeanChange,NumPos,NumNeg
미용기기,100.0,14.15,5,0
유틸리티,93.33,3.71,14,1
창업투자/VC,93.33,26.2,14,1
기타,92.86,9.87,13,1
신재생에너지,89.47,21.98,17,2
디스플레이 소재,88.89,6.65,8,1
AI,87.5,14.46,21,3
엔터테인먼트,86.67,9.57,26,4
은행,85.71,10.84,6,1
증권,84.21,4.9,16,3
통신,81.82,5.03,18,4
음식료,80.77,4.51,42,10
건자재,80.0,13.24,24,6
원자력,80.0,9.97,4,1
건설,78.38,27.75,29,8
미디어,78.26,15.51,18,5
전력기기,77.42,8.47,24,7
바이오/제약/신약개발,77.18,8.49,115,34
IT소프트웨어,77.01,9.1,67,20
조선/기계/중공업,76.74,14.07,33,10
지주회사,76.19,6.22,48,15
방위산업,75.0,8.96,9,3
기타금융,75.0,2.2,24,8
필수소비재,75.0,5.25,3,1
헬스케어,72.41,7.12,21,8
유통/소매,70.83,4.83,17,7
이차전지 장비,70.59,5.19,12,5
가전제품,70.0,1.48,7,3
정유/화학/가스,66.1,2.92,39,20
진단기기/의료기기,64.29,3.7,18,10
화장품,63.33,9.37,19,11
의류,62.96,3.98,17,10
홈리빙/가구,61.54,6.43,8,5
자동차 부품,57.63,3.84,34,25
반도체 소재,57.14,2.59,12,9
이차전지 소재,57.14,1.91,16,12
유통,52.94,2.0,9,8
철강/비철금속,52.17,3.62,24,22
이차전지 배터리,50.0,0.3,3,3
게임,50.0,2.37,10,10
IT하드웨어/반도체,48.94,0.45,46,48
운송/항공/물류,44.83,1.74,13,16
디스플레이 장비,44.44,1.75,8,10
반도체 장비,40.82,-1.18,20,29
보험,38.46,1.82,5,8
디스플레이 패널,0.0,-4.81,0,2
자동차,0.0,-9.82,0,3
