Sector,Ratio,MeanChange,NumPos,NumNeg
미용기기,100.0,51.65,5,0
가전제품,87.5,14.25,7,1
조선/기계/중공업,85.37,43.34,35,6
로봇,85.0,76.77,17,3
신재생에너지,83.33,55.08,15,3
은행,83.33,8.2,5,1
기타금융,82.76,6.92,24,5
AI,81.82,68.94,18,4
반도체 소재,79.17,16.89,19,5
증권,78.95,17.68,15,4
건설,78.79,33.24,26,7
IT소프트웨어,78.02,30.33,71,20
헬스케어,77.78,20.59,21,6
엔터테인먼트,77.42,31.61,24,7
방위산업,76.92,27.73,10,3
화장품,75.86,22.87,22,7
음식료,75.0,18.98,36,12
홈리빙/가구,75.0,20.23,6,2
의류,72.0,11.06,18,7
반도체 장비,68.09,13.45,32,15
유통/소매,68.0,14.43,17,8
정유/화학/가스,67.21,9.59,41,20
지주회사,67.14,12.29,47,23
IT하드웨어/반도체,66.67,16.42,62,31
디스플레이 소재,66.67,9.33,6,3
철강/비철금속,65.12,8.58,28,15
전력기기,62.5,19.62,25,15
자동차 부품,61.82,27.57,34,21
건자재,61.76,6.49,21,13
유틸리티,61.54,5.11,8,5
미디어,61.54,8.62,16,10
디스플레이 장비,60.0,14.38,9,6
통신,58.82,15.77,10,7
유통,58.82,17.89,10,7
운송/항공/물류,55.56,1.18,15,12
기타,54.55,5.33,6,5
창업투자/VC,53.33,21.63,8,7
진단기기/의료기기,51.61,7.32,16,15
보험,50.0,4.44,7,7
게임,50.0,1.29,9,9
바이오/제약/신약개발,44.83,14.11,65,80
이차전지 배터리,33.33,-16.5,1,2
자동차,33.33,-7.36,1,2
원자력,20.0,1.29,1,4
이차전지 장비,13.33,-8.92,2,13
이차전지 소재,10.34,-28.14,3,26
필수소비재,0.0,-5.49,0,2
디스플레이 패널,0.0,-5.42,0,2
