Sector,Ratio,MeanChange,NumPos,NumNeg
필수소비재,100.0,2.58,2,0
유틸리티,84.62,3.93,11,2
원자력,80.0,7.29,4,1
증권,78.95,3.81,15,4
방위산업,69.23,2.41,9,4
헬스케어,66.67,2.91,18,9
진단기기/의료기기,64.52,5.51,20,11
전력기기,62.5,3.63,25,15
화장품,55.17,1.97,16,13
바이오/제약/신약개발,55.17,1.33,80,65
지주회사,54.29,0.65,38,32
의류,52.0,0.06,13,12
조선/기계/중공업,51.22,1.46,21,20
은행,50.0,1.57,3,3
가전제품,50.0,0.55,4,4
보험,50.0,1.18,7,7
신재생에너지,50.0,3.4,9,9
건설,48.48,0.04,16,17
운송/항공/물류,48.15,-0.75,13,14
게임,44.44,-0.51,8,10
유통,41.18,2.73,7,10
유통/소매,40.0,-0.64,10,15
음식료,39.58,-0.37,19,29
기타,36.36,-0.75,4,7
엔터테인먼트,35.48,-1.33,11,20
IT소프트웨어,34.07,-2.01,31,60
디스플레이 소재,33.33,-1.36,3,6
창업투자/VC,33.33,-3.0,5,10
철강/비철금속,32.56,-1.88,14,29
기타금융,31.03,-0.3,9,20
미디어,30.77,-1.14,8,18
정유/화학/가스,29.51,-2.45,18,43
건자재,26.47,-1.52,9,25
자동차 부품,25.45,-3.07,14,41
통신,23.53,-2.18,4,13
AI,22.73,-8.27,5,17
미용기기,20.0,-4.12,1,4
반도체 장비,17.02,-4.01,8,39
IT하드웨어/반도체,16.13,-4.83,15,78
이차전지 장비,13.33,-6.5,2,13
홈리빙/가구,12.5,-4.57,1,7
반도체 소재,12.5,-3.61,3,21
로봇,10.0,-7.6,2,18
이차전지 소재,6.9,-10.34,2,27
디스플레이 장비,6.67,-4.6,1,14
이차전지 배터리,0.0,-9.99,0,3
디스플레이 패널,0.0,-4.48,0,2
자동차,0.0,-4.0,0,3
