Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,55700,3,0,0.0,56400,56400,55600,12183303,681776346900,329723832255400,5919637922,STK
000660,KR7000660001,SK하이닉스,KOSPI,,184400,1,6100,3.42,182500,184900,182100,3507810,643236401050,134243636106000,728002365,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,343500,1,2000,0.59,347500,347500,340000,104822,36002599250,80379000000000,234000000,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1035000,2,-11000,-1.05,1047000,1050000,1029000,93581,97091820000,73665090000000,71174000,STK
005380,KR7005380001,현대차,KOSPI,,188800,2,-100,-0.05,191000,191000,188600,528739,100127014000,39537776860800,209416191,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,824000,3,0,0.0,828000,832000,810000,242091,198582335000,37558876664000,45581161,STK
329180,KR7329180004,HD현대중공업,KOSPI,,403000,1,27000,7.18,398500,406000,386000,715017,285248831000,35775565748000,88773116,STK
068270,KR7068270008,셀트리온,KOSPI,,158300,2,-300,-0.19,159100,159500,158300,274242,43551481450,35341786198900,223258283,STK
000270,KR7000270009,기아,KOSPI,,88200,2,-600,-0.68,89500,89700,87500,1356631,120183836750,35074726142400,397672632,STK
105560,KR7105560007,KB금융,KOSPI,,86900,1,2300,2.72,86300,87300,85300,1432921,124420787700,34197619958700,393528423,STK
035420,KR7035420009,NAVER,KOSPI,,193500,1,2000,1.04,193400,195100,192200,391764,75805360900,30657561048000,158437008,STK
042660,KR7042660001,한화오션,KOSPI,,89900,1,9000,11.12,82700,90000,81900,7364955,640076060750,27546564120600,306413394,STK
055550,KR7055550008,신한지주,KOSPI,,49750,1,1000,2.05,49300,50200,49200,1675511,83423363100,25046404918750,503445325,STK
012330,KR7012330007,현대모비스,KOSPI,,250000,2,-2500,-0.99,255500,258000,247000,161180,40402274000,23248773500000,92995094,STK
138040,KR7138040001,메리츠금융지주,KOSPI,,119100,1,200,0.17,119000,120500,118900,200574,23968672700,21989334504300,184629173,STK
005490,KR7005490008,POSCO홀딩스,KOSPI,,260000,1,3000,1.17,260000,262500,257250,195750,50958017000,21042567520000,80932952,STK
028260,KR7028260008,삼성물산,KOSPI,,117000,2,-1100,-0.93,118600,119300,116500,159021,18667522800,19887255648000,169976544,STK
009540,KR7009540006,HD한국조선해양,KOSPI,,265500,1,16000,6.41,258500,265500,255000,594024,155473590500,18790262298000,70773116,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,27900,1,1000,3.72,27850,28000,27450,6572442,182449277800,17871655973400,640561146,STK
259960,KR7259960003,크래프톤,KOSPI,,373000,2,-3500,-0.93,374500,377500,369000,129191,48209742000,17870821277000,47911049,STK
086790,KR7086790003,하나금융지주,KOSPI,,61200,1,400,0.66,61000,62200,61000,829472,51068574500,17579141856000,287240880,STK
000810,KR7000810002,삼성화재,KOSPI,,360500,2,-1500,-0.41,362000,365000,360000,38979,14095655500,17078628738500,47374837,STK
035720,KR7035720002,카카오,KOSPI,,37950,2,-1500,-3.8,37850,38400,37150,16562277,611989915950,16844957580000,443872400,STK
011200,KR7011200003,HMM,KOSPI,,18820,2,-120,-0.63,19030,19030,18590,1776211,33327569270,16581163314720,881039496,STK
032830,KR7032830002,삼성생명,KOSPI,,82800,2,-100,-0.12,83300,84400,82600,148408,12328682000,16560000000000,200000000,STK
015760,KR7015760002,한국전력,KOSPI,,25250,1,150,0.6,25150,25350,24950,1442057,36243214225,16209592944250,641964077,STK
051910,KR7051910008,LG화학,KOSPI,,224500,1,1500,0.67,225000,229000,222500,201389,45332384250,15847981003500,70592343,STK
010130,KR7010130003,고려아연,KOSPI,,714000,2,-7000,-0.97,721000,734000,712000,10879,7817891500,14782144062000,20703283,STK
096770,KR7096770003,SK이노베이션,KOSPI,,95500,1,600,0.63,95600,96300,94500,208145,19871407050,14423821108000,151034776,STK
033780,KR7033780008,KT&G,KOSPI,,112900,2,-600,-0.53,113500,114100,112100,272425,30776251400,13780855911300,122062497,STK
010140,KR7010140002,삼성중공업,KOSPI,,14720,1,130,0.89,14500,14900,14270,14117412,205466031275,12953600000000,880000000,STK
316140,KR7316140003,우리금융지주,KOSPI,,17300,1,100,0.58,17200,17340,17200,1855981,32096833475,12846832967300,742591501,STK
006400,KR7006400006,삼성SDI,KOSPI,,185100,1,400,0.22,186700,189400,184000,328738,61080123350,12728314503000,68764530,STK
030200,KR7030200000,KT,KOSPI,,50200,1,1050,2.14,49600,50300,49600,324084,16307483042,12651488587000,252021685,STK
017670,KR7017670001,SK텔레콤,KOSPI,,57800,1,100,0.17,57700,58400,57600,488076,28334521466,12414865063400,214790053,STK
064350,KR7064350002,현대로템,KOSPI,,113700,1,3900,3.55,111100,114400,109500,981508,110304344900,12409478714100,109142293,STK
402340,KR7402340004,SK스퀘어,KOSPI,,89700,1,6000,7.17,86100,89900,85500,543463,48211242750,11979260623200,133548056,STK
024110,KR7024110009,기업은행,KOSPI,,14970,1,120,0.81,14890,15000,14890,716691,10729988870,11937465258930,797425869,STK
066570,KR7066570003,LG전자,KOSPI,,71600,1,1300,1.85,71200,72600,70800,555142,39855628700,11717183482400,163647814,STK
267260,KR7267260008,HD현대일렉트릭,KOSPI,,299500,1,6500,2.22,298000,304500,296500,275583,82880875000,10796116932500,36047135,STK
