Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId,Sector
000020,KR7000020008,동화약품,KOSPI,,6510,1,20,0.31,6490,6560,6480,17596,114416685,181833869700,27931470,STK,바이오/제약/신약개발
000040,KR7000040006,KR모터스,KOSPI,,435,1,6,1.4,429,450,429,42849,18748881,26157797580,60132868,STK,자동차
000050,KR7000050005,경방,KOSPI,,7860,1,340,4.52,7590,7960,7320,372579,2870679065,215484022200,27415270,STK,섬유/의류
000070,KR7000070003,삼양홀딩스,KOSPI,,84400,1,5600,7.11,79500,86900,79200,82615,6902852650,733415912800,8689762,STK,지주회사
000080,KR7000080002,하이트진로,KOSPI,,20150,1,310,1.56,20000,20200,19980,103047,2067375035,1413192261650,70133611,STK,음식료
000100,KR7000100008,유한양행,KOSPI,,103600,2,-400,-0.38,104400,105200,103500,202885,21104621850,8309659030400,80209064,STK,바이오/제약/신약개발
000120,KR7000120006,CJ대한통운,KOSPI,,82800,1,2900,3.63,80700,83600,80500,78452,6478410950,1888862083200,22812344,STK,운송/항공/물류
000140,KR7000140004,하이트진로홀딩스,KOSPI,,9950,1,780,8.51,9280,10040,9210,158655,1542817245,230907311750,23206765,STK,지주회사
000150,KR7000150003,두산,KOSPI,,532000,1,45500,9.35,496500,536000,494000,131559,67793909500,8790680220000,16523835,STK,지주회사
000180,KR7000180000,성창기업지주,KOSPI,,1465,1,1,0.07,1465,1477,1465,24296,35698688,102186094000,69751600,STK,지주회사
000210,KR7000210005,DL,KOSPI,,46900,1,2500,5.63,44200,47800,44200,107607,5036406550,982830959600,20955884,STK,건설
000220,KR7000220004,유유제약,KOSPI,,4625,1,35,0.76,4595,4650,4580,50850,235104650,78774623375,17032351,STK,바이오/제약/신약개발
000230,KR7000230003,일동홀딩스,KOSPI,,6960,1,270,4.04,6710,7100,6650,64684,446769680,80321184000,11540400,STK,지주회사
000240,KR7000240002,한국앤컴퍼니,KOSPI,,18870,1,130,0.69,18650,19040,18200,179392,3354356565,1791427978800,94935240,STK,자동차 부품
000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,146400,1,400,0.27,147700,150100,144200,63796,9387807150,3434173900800,23457472,KSQ,바이오/제약/신약개발
000270,KR7000270009,기아,KOSPI,,89000,1,600,0.68,89200,90400,88900,374637,33570722550,35392864248000,397672632,STK,자동차
000300,KR7000300004,DH오토넥스,KOSPI,,1984,0,0,0.0,0,0,0,0,0,162944308992,82129188,STK,자동차 부품
000320,KR7000320002,노루홀딩스,KOSPI,,18800,1,1100,6.21,17950,18890,17790,88737,1639772330,249873638800,13291151,STK,지주회사
000370,KR7000370007,한화손해보험,KOSPI,,4840,1,290,6.37,4700,4910,4680,431900,2084668534,565016348600,116738915,STK,보험
000390,KR7000390005,삼화페인트,KOSPI,,6040,1,50,0.83,5990,6060,5990,16361,98659900,164308952760,27203469,STK,건자재
000400,KR7000400002,롯데손해보험,KOSPI,,1662,1,27,1.65,1635,1666,1635,163885,270432407,515778963840,310336320,STK,보험
000430,KR7000430009,대원강업,KOSPI,,3740,1,20,0.54,3750,3760,3720,10103,37886893,231880000000,62000000,STK,자동차 부품
000440,KR7000440008,중앙에너비스,KOSDAQ,중견기업부,13230,1,170,1.3,13120,13330,13120,1568,20788910,82384929900,6227130,KSQ,정유/화학/가스
000480,KR7000480004,CR홀딩스,KOSPI,,5390,1,40,0.75,5370,5400,5350,7536,40529450,252739741100,46890490,STK,지주회사
000490,KR7000490003,대동,KOSPI,,10810,1,150,1.41,10670,10820,10600,81488,872257160,277321253400,25654140,STK,조선/기계/중공업
000500,KR7000500009,가온전선,KOSPI,,71700,2,-600,-0.83,72300,74000,70900,51075,3665898650,1186141345500,16543115,STK,전력기기
000520,KR7000520007,삼일제약,KOSPI,,10800,2,-100,-0.92,10830,10940,10690,71895,777094760,234271558800,21691811,STK,바이오/제약/신약개발
000540,KR7000540005,흥국화재,KOSPI,,4155,1,150,3.75,4105,4255,4055,191387,794697397,266928189975,64242645,STK,보험
000590,KR7000590000,CS홀딩스,KOSPI,,85700,1,3800,4.64,82000,88000,81900,2454,209273400,98939107400,1154482,STK,지주회사
