Date,Code,Name,MarketCap,Price,Sales (2024),OpIncome (2024),NetIncome (2024),Sales (2025),OpIncome (2025),NetIncome (2025),FY-PER,FY-PBR,FY-ROE,FY-SalesGrowth,FY-OpGrowth,FY-NetGrowth,DivYield,DivPayout
2025-4-22,005930,삼성전자,3279479,55000,3008709.0,327260.0,327260.0,3228625.0,338160.0,,11.48,0.9,8.05,7.31,3.33,-4.03,2.63,29.21
2025-4-22,000660,SK하이닉스,1288564,174800,661930.0,234673.0,234673.0,847403.0,344223.0,,4.72,1.25,31.14,28.02,46.68,36.64,1.26,8.11
2025-4-22,373220,LG에너지솔루션,785070,331500,256196.0,-9046.0,5754.0,276255.0,17101.0,,186.55,3.57,1.94,7.83,-289.04,282.99,,
2025-4-22,207940,삼성바이오로직스,759426,1070000,45473.0,13201.0,13201.0,56019.0,16387.0,,57.65,6.23,11.42,23.19,24.13,21.25,,
2025-4-22,005380,현대차,392027,187400,1752312.0,142396.0,142396.0,1817764.0,138483.0,,4.14,0.44,10.98,3.74,-2.75,-2.03,6.4,26.06
2025-4-22,012450,한화에어로스페이스,379691,839000,112401.0,17319.0,17319.0,225475.0,27136.0,,22.93,4.73,25.53,100.6,56.68,-25.18,0.42,7.46
2025-4-22,068270,셀트리온,351185,159000,35573.0,4920.0,4920.0,44980.0,13058.0,,33.77,1.75,5.91,26.44,165.41,149.82,0.45,38.45
2025-4-22,000270,기아,348758,87800,1074488.0,126671.0,126671.0,1129116.0,123285.0,,3.57,0.56,16.53,5.08,-2.67,0.37,7.4,26.63
2025-4-22,105560,KB금융,323873,83200,304914.0,80453.0,80453.0,307579.0,75869.0,,6.03,0.53,9.14,0.87,-5.7,7.39,3.81,24.98
2025-4-22,329180,HD현대중공업,312925,359500,144865.0,7052.0,7052.0,161071.0,13038.0,,33.86,4.99,15.58,11.19,84.88,52.2,0.58,29.85
2025-4-22,035420,NAVER,298336,195100,107377.0,19793.0,19793.0,118896.0,22852.0,,16.1,1.09,7.25,10.73,15.45,-2.79,0.58,9.49
2025-4-22,055550,신한지주,243415,48650,292093.0,64587.0,64587.0,286365.0,68772.0,,4.99,0.41,8.52,-1.96,6.48,10.12,4.44,24.71
2025-4-22,042660,한화오션,237163,78400,107760.0,2379.0,2379.0,123981.0,7008.0,,46.67,4.58,10.19,15.05,194.58,-0.59,,
2025-4-22,012330,현대모비스,225513,241500,572370.0,30735.0,30735.0,603151.0,35394.0,,5.21,0.46,9.11,5.38,15.16,6.28,2.48,13.8
2025-4-22,138040,메리츠금융지주,212323,118200,40217.0,31889.0,31889.0,40698.0,32638.0,,9.31,1.79,21.87,1.2,2.35,-1.93,1.14,11.35
2025-4-22,005490,POSCO홀딩스,202737,251500,726881.0,21736.0,21736.0,731550.0,26812.0,,14.4,0.35,2.55,0.64,23.35,65.54,3.98,76.49
2025-4-22,028260,삼성물산,193773,115900,421032.0,29834.0,29834.0,417531.0,30700.0,,8.88,0.56,6.87,-0.83,2.9,2.25,2.24,21.17
2025-4-22,259960,크래프톤,183978,382000,27098.0,11825.0,11825.0,30822.0,13445.0,,16.06,2.28,15.44,13.74,13.7,-12.22,,
2025-4-22,035720,카카오,172666,39700,78717.0,4602.0,4602.0,81804.0,5402.0,,46.6,1.64,3.62,3.92,17.38,-327.36,0.17,54.84
2025-4-22,086790,하나금융지주,170621,60000,241166.0,48552.0,48552.0,242762.0,51203.0,,4.42,0.38,8.88,0.66,5.46,3.85,6.0,27.97
2025-4-22,011200,HMM,166075,19030,117002.0,35128.0,35128.0,102736.0,18239.0,,7.84,0.6,7.68,-12.19,-48.08,-43.21,3.15,13.98
2025-4-22,000810,삼성화재,166048,358000,174130.0,26496.0,26496.0,,28172.0,,8.6,1.01,13.13,,6.33,4.17,5.31,46.33
2025-4-22,034020,두산에너빌리티,165585,26000,162331.0,10176.0,10176.0,159412.0,11139.0,,40.94,2.06,5.22,-1.8,9.46,37.65,,
2025-4-22,015760,한국전력,161453,25050,933989.0,83647.0,83647.0,973740.0,135551.0,,2.21,0.35,16.79,4.26,62.05,102.27,0.85,3.92
2025-4-22,032830,삼성생명,158800,82800,108372.0,24998.0,24998.0,,27444.0,,7.29,0.49,7.25,,9.78,8.37,5.43,42.72
2025-4-22,009540,HD한국조선해양,155700,228750,255386.0,14341.0,14341.0,285120.0,24203.0,,10.04,1.32,13.82,11.64,68.77,26.67,2.23,30.79
2025-4-22,051910,LG화학,152832,216500,489161.0,-5632.0,9168.0,517434.0,19214.0,,30.19,0.51,1.69,5.78,-441.16,104.72,0.46,-11.33
2025-4-22,010130,고려아연,140782,699000,120529.0,7235.0,7235.0,137352.0,6868.0,,61.7,1.31,2.87,13.96,-5.07,19.46,2.5,190.42
2025-4-22,096770,SK이노베이션,139707,92400,747170.0,231.0,3155.0,822113.0,12745.0,,-41.03,0.58,-1.41,10.03,5417.32,-85.35,2.16,-9.42
2025-4-22,033780,KT&G,134268,115200,59088.0,11888.0,11888.0,62395.0,12813.0,,12.86,1.33,11.68,5.6,7.78,-5.62,4.69,60.17
2025-4-22,316140,우리금융지주,125943,17080,220133.0,42552.0,42552.0,221197.0,43067.0,,4.1,0.35,8.84,0.48,1.21,0.97,7.03,28.96
2025-4-22,030200,KT,124120,49500,264312.0,8095.0,8095.0,277495.0,24476.0,,7.63,0.71,9.73,4.99,202.36,319.23,4.04,108.11
2025-4-22,064350,현대로템,123985,116000,43766.0,4566.0,4566.0,56479.0,8471.0,,18.66,4.66,28.49,29.05,85.52,67.33,0.17,5.36
2025-4-22,017670,SK텔레콤,123719,58600,179406.0,18234.0,18234.0,181270.0,19845.0,,9.7,1.02,10.84,1.04,8.84,-1.16,6.04,60.93
2025-4-22,010140,삼성중공업,123068,14090,99031.0,5027.0,5027.0,109146.0,7377.0,,25.16,2.33,12.1,10.21,46.75,823.19,,
2025-4-22,006400,삼성SDI,121781,177100,165922.0,2734.0,3633.0,149829.0,1188.0,,38.33,0.57,1.58,-9.7,-56.55,-34.58,0.56,11.74
2025-4-22,267260,HD현대일렉트릭,120036,330000,33223.0,6690.0,6690.0,40398.0,8984.0,,17.48,5.92,38.92,21.6,34.29,35.85,1.62,38.45
2025-4-22,024110,기업은행,116583,14770,189549.0,35941.0,35941.0,192574.0,37383.0,,4.25,0.33,7.95,1.6,4.01,4.6,7.21,32.12
2025-4-22,066570,LG전자,114553,69800,877282.0,34197.0,34197.0,908139.0,35504.0,,9.16,0.58,6.45,3.52,3.82,194.52,1.43,49.21
2025-4-22,402340,SK스퀘어,111646,82200,61385.0,39126.0,39126.0,40066.0,48538.0,,2.45,0.46,20.99,-34.73,24.06,21.08,,
2025-4-22,003550,LG,98785,63600,71755.0,9668.0,9668.0,82530.0,17530.0,,8.16,0.36,4.58,15.02,81.32,95.6,4.87,86.47
2025-4-22,003670,포스코퓨처엠,97138,125000,36999.0,7.0,7.0,39988.0,770.0,,8928.57,3.89,0.04,8.08,10900.0,-99.39,,
2025-4-22,352820,하이브,96216,231500,22556.0,1840.0,1840.0,26524.0,3148.0,,40.27,2.75,7.15,17.59,71.09,-6932.35,0.09,88.89
2025-4-22,000100,유한양행,92400,115400,20678.0,549.0,549.0,22771.0,1180.0,,67.68,3.95,6.52,10.12,114.94,140.4,0.43,57.54
2025-4-22,034730,SK,91715,130400,1246904.0,20629.0,23553.0,1270631.0,56950.0,,11.76,0.35,3.19,1.9,176.07,308.38,5.37,-39.73
2025-4-22,018260,삼성에스디에스,90377,118900,138282.0,9111.0,9111.0,143829.0,9504.0,,11.57,0.93,8.27,4.01,4.31,3.37,2.44,29.64
2025-4-22,009150,삼성전기,90005,120000,102941.0,7350.0,7350.0,110469.0,9188.0,,12.46,0.99,8.29,7.31,25.01,10.79,1.5,20.57
2025-4-22,047050,포스코인터내셔널,89720,51500,323408.0,11169.0,11169.0,332819.0,11452.0,,13.5,1.3,9.97,2.91,2.53,37.05,3.01,52.99
2025-4-22,086280,현대글로비스,85875,112100,284074.0,17529.0,17529.0,302549.0,20139.0,,5.73,0.85,15.77,6.5,14.89,34.0,3.3,25.37
2025-4-22,326030,SK바이오팜,81680,105000,5476.0,963.0,963.0,7104.0,1626.0,,55.56,11.9,23.92,29.73,68.85,-42.6,,
2025-4-22,047810,한국항공우주,78321,84500,36337.0,2407.0,2407.0,41018.0,3251.0,,31.27,4.24,14.44,12.88,35.06,55.3,0.59,28.33
2025-4-22,003490,대한항공,75117,20400,178707.0,21102.0,21102.0,244180.0,21007.0,,5.62,0.65,12.17,36.64,-0.45,1.86,3.68,21.03
2025-4-22,042700,한미반도체,72267,72500,5589.0,2554.0,2554.0,8611.0,4249.0,,18.05,6.51,52.91,54.07,66.37,154.33,0.99,45.77
2025-4-22,272210,한화시스템,72261,39300,28037.0,2193.0,2193.0,35387.0,2325.0,,35.76,2.75,8.05,26.22,6.02,-54.36,0.89,14.55
2025-4-22,443060,HD현대마린솔루션,71726,161900,17455.0,2717.0,2717.0,20132.0,3449.0,,26.13,8.38,33.88,15.34,26.94,21.9,1.95,59.38
2025-4-22,003230,삼양식품,71563,961000,17280.0,3446.0,3446.0,22020.0,4530.0,,20.57,6.29,35.92,27.43,31.46,29.86,0.34,9.14
2025-4-22,090430,아모레퍼시픽,67208,114500,38851.0,2205.0,2205.0,42974.0,4026.0,,23.69,1.41,6.14,10.61,82.59,-45.06,0.98,13.1
2025-4-22,079550,LIG넥스원,63580,311500,32763.0,2298.0,2298.0,37962.0,2989.0,,26.35,5.55,21.31,15.87,30.07,16.48,0.77,23.81
2025-4-22,010950,S-Oil,58880,52200,366370.0,4222.0,4222.0,355843.0,7847.0,,16.01,0.67,4.29,-2.87,85.86,-296.94,0.24,-7.55
2025-4-22,021240,코웨이,56889,78500,43101.0,7954.0,7954.0,47238.0,8616.0,,9.31,1.6,18.37,9.6,8.32,8.19,3.35,34.32
2025-4-22,267250,HD현대,55611,71400,677656.0,29832.0,29832.0,704000.0,44037.0,,5.97,0.58,10.58,3.89,47.62,46.93,5.04,55.87
2025-4-22,006800,미래에셋증권,54465,9950,28315.0,11881.0,11881.0,28693.0,11811.0,,7.88,0.55,7.4,1.33,-0.59,-1.52,2.51,20.34
2025-4-22,010120,LS ELECTRIC,52710,177900,45518.0,3897.0,3897.0,50790.0,4673.0,,16.8,2.55,16.2,11.58,19.91,33.03,1.63,36.45
2025-4-22,010620,HD현대미포,51645,131900,46300.0,885.0,885.0,50499.0,2707.0,,24.61,2.36,10.02,9.07,205.88,98.76,0.54,26.87
2025-4-22,064400,LG씨엔에스,50768,51850,59826.0,5129.0,5129.0,64817.0,5636.0,,12.43,1.96,17.15,8.34,9.88,10.25,3.22,40.0
2025-4-22,032640,LG유플러스,49861,11530,146252.0,8631.0,8631.0,148710.0,9721.0,,8.73,0.56,6.62,1.68,12.63,89.89,5.64,75.76
2025-4-22,051900,LG생활건강,49822,319000,68119.0,4590.0,4590.0,69014.0,4817.0,,20.78,0.97,4.8,1.31,4.95,45.32,1.1,32.79
2025-4-22,000150,두산,48993,291500,181329.0,10038.0,10038.0,183210.0,12598.0,,34.73,3.73,12.1,1.04,25.5,81.11,0.69,-18.94
2025-4-22,161390,한국타이어앤테크놀로지,47877,39100,94119.0,17623.0,17623.0,97696.0,16708.0,,3.99,0.41,10.63,3.8,-5.19,9.65,5.12,22.23
2025-4-22,029780,삼성카드,47038,41100,27898.0,8854.0,8854.0,42540.0,8390.0,,7.22,0.52,7.62,52.48,-5.24,-0.77,6.81,48.81
